Time,Cores,Active
52600,large,3
52700,small,2
52700,medium,0
52700,large,3
52800,small,0
52800,medium,0
52800,large,0
52900,small,0
52900,medium,0
52900,large,0
53000,small,2
53000,medium,0
53000,large,3
53100,small,0
53100,medium,0
53100,large,0
53200,small,0
53200,medium,0
53200,large,0
53300,small,2
53300,medium,0
53300,large,3
53400,small,2
53400,medium,0
53400,large,3
53500,small,2
53500,medium,0
53500,large,3
53600,small,2
53600,medium,0
53600,large,3
53700,small,2
53700,medium,0
53700,large,3
53800,small,2
53800,medium,0
53800,large,3
53900,small,2
53900,medium,0
53900,large,3
54000,small,2
54000,medium,0
54000,large,3
54100,small,2
54100,medium,0
54100,large,3
54200,small,2
54200,medium,0
54200,large,3
54300,small,2
54300,medium,0
54300,large,3
54400,small,0
54400,medium,0
54400,large,0
54500,small,0
54500,medium,0
54500,large,0
54600,small,2
54600,medium,0
54600,large,3
54700,small,2
54700,medium,0
54700,large,3
54800,small,2
54800,medium,0
54800,large,3
54900,small,2
54900,medium,0
54900,large,3
55000,small,2
55000,medium,0
55000,large,3
55100,small,2
55100,medium,0
55100,large,3
55200,small,2
55200,medium,0
55200,large,3
55300,small,2
55300,medium,0
55300,large,3
55400,small,0
55400,medium,0
55400,large,0
55500,small,0
55500,medium,0
55500,large,0
55600,small,2
55600,medium,0
55600,large,3
55700,small,2
55700,medium,0
55700,large,3
55800,small,2
55800,medium,0
55800,large,3
55900,small,2
55900,medium,0
55900,large,3
56000,small,2
56000,medium,0
56000,large,3
56100,small,2
56100,medium,0
56100,large,3
56200,small,2
56200,medium,0
56200,large,3
56300,small,0
56300,medium,0
56300,large,0
56400,small,0
56400,medium,0
56400,large,0
56500,small,2
56500,medium,0
56500,large,3
56600,small,2
56600,medium,0
56600,large,3
56700,small,2
56700,medium,0
56700,large,3
56800,small,2
56800,medium,0
56800,large,3
56900,small,2
56900,medium,0
56900,large,3
57000,small,2
57000,medium,0
57000,large,3
57100,small,2
57100,medium,0
57100,large,3
57200,small,0
57200,medium,0
57200,large,0
57300,small,0
57300,medium,0
57300,large,0
57400,small,2
57400,medium,0
57400,large,3
57500,small,2
57500,medium,0
57500,large,3
57600,small,2
57600,medium,0
57600,large,3
57700,small,2
57700,medium,0
57700,large,3
57800,small,2
57800,medium,0
57800,large,3
57900,small,2
57900,medium,0
57900,large,3
58000,small,2
58000,medium,0
58000,large,3
58100,small,2
58100,medium,0
58100,large,3
58200,small,0
58200,medium,0
58200,large,0
58300,small,0
58300,medium,0
58300,large,0
58400,small,2
58400,medium,0
58400,large,3
58500,small,2
58500,medium,0
58500,large,3
58600,small,2
58600,medium,0
58600,large,3
58700,small,2
58700,medium,0
58700,large,3
58800,small,2
58800,medium,0
58800,large,3
58900,small,2
58900,medium,0
58900,large,3
59000,small,2
59000,medium,0
59000,large,3
59100,small,0
59100,medium,0
59100,large,0
59200,small,0
59200,medium,0
59200,large,0
59300,small,2
59300,medium,0
59300,large,3
59400,small,2
59400,medium,0
59400,large,3
59500,small,2
59500,medium,0
59500,large,3
59600,small,2
59600,medium,0
59600,large,3
59700,small,2
59700,medium,0
59700,large,3
59800,small,2
59800,medium,0
59800,large,3
59900,small,2
59900,medium,0
59900,large,3
60000,small,2
60000,medium,0
60000,large,3
60100,small,0
60100,medium,0
